modelo,dobra,accuracy,precision_1,recall_1,f1_1
Referência aleatória estratificada,1,0.6538758195140764,0.21824381926683717,0.2257495590828924,0.22193324664065886
Árvore completa (profundidade 7),1,0.8947165445430004,0.78,0.7222222222222222,0.75
Árvore sem grade e juros (profundidade 7),1,0.825106054762823,0.5863117870722433,0.6798941798941799,0.629644752960392
Referência aleatória estratificada,2,0.6629386810644041,0.22975352112676056,0.23015873015873015,0.22995594713656387
Árvore completa (profundidade 7),2,0.9018511376783648,0.8072763028515241,0.7239858906525574,0.7633658763365876
Árvore sem grade e juros (profundidade 7),2,0.8218279984573853,0.5799086757990868,0.671957671957672,0.6225490196078431
Referência aleatória estratificada,3,0.6590821442344774,0.22261174408413673,0.22378854625550662,0.22319859402460457
Árvore completa (profundidade 7),3,0.9076359429232549,0.8459915611814346,0.7066079295154185,0.7700432069131061
Árvore sem grade e juros (profundidade 7),3,0.8318549942151947,0.602814698983581,0.6792951541850221,0.6387738193869097
Referência aleatória estratificada,4,0.6534233365477339,0.2109851787271142,0.21340388007054673,0.2121876370013152
Árvore completa (profundidade 7),4,0.8931533269045323,0.7543859649122807,0.7583774250440917,0.7563764291996482
Árvore sem grade e juros (profundidade 7),4,0.817357762777242,0.5653389238294899,0.7134038800705468,0.6307992202729045
Referência aleatória estratificada,5,0.6532304725168756,0.21816638370118846,0.22663139329805995,0.222318339100346
Árvore completa (profundidade 7),5,0.8817743490838958,0.7194608256107835,0.7530864197530864,0.7358897027143473
Árvore sem grade e juros (profundidade 7),5,0.8345226615236259,0.6095238095238096,0.6772486772486772,0.6416040100250626
