origem_linha,real,previsto
21282,0,0
26976,1,0
26459,0,0
24182,0,0
16750,1,1
28959,0,0
28501,1,1
8430,0,0
29253,0,0
30350,0,0
27491,0,0
31646,1,1
14283,0,0
16022,0,0
5766,0,0
30676,0,0
17917,0,0
17528,0,0
31395,0,0
17792,0,0
12142,1,1
28225,1,1
31364,1,0
31065,0,0
21063,0,0
9875,0,0
4279,0,0
28513,0,0
29601,0,0
28452,0,0
26151,1,1
28060,0,0
27441,0,0
32429,1,1
27011,0,0
31097,0,0
7905,0,1
29945,0,0
9355,0,0
2554,0,0
9787,0,0
26507,0,0
26658,0,0
7843,1,0
504,1,1
23670,0,0
31592,0,0
12671,0,0
30889,0,0
6903,0,0
26394,0,0
3127,1,0
19759,0,0
18827,0,1
11559,0,0
20561,1,0
5832,0,0
8440,0,0
26018,0,0
17153,1,1
2693,0,0
1273,0,0
19986,0,0
17569,1,1
17438,0,0
10862,1,0
25997,0,0
13127,0,0
19687,0,0
32037,0,0
6139,0,0
4708,1,0
23742,1,0
2473,1,1
25080,1,1
22319,0,0
9122,0,0
17587,0,0
14649,1,1
10312,0,0
30580,1,0
8499,0,0
25412,0,0
30255,0,0
29409,0,0
23722,0,0
27545,0,0
7705,1,1
5764,0,0
24373,0,0
9302,0,0
26448,0,0
15293,0,0
31659,0,0
32155,0,0
8114,0,0
23631,0,0
30177,0,0
15381,1,0
13131,0,0
938,1,1
16444,0,0
23507,1,0
26974,0,0
28329,0,0
6193,0,0
21487,0,0
20201,1,1
7836,0,0
8442,1,1
26283,0,0
16132,0,0
2191,0,0
27862,0,0
14626,0,0
32553,0,0
10995,1,0
17494,0,0
24253,0,0
32109,0,0
32246,1,1
25992,0,0
22738,0,0
28010,1,1
17049,1,1
9529,0,0
11825,1,1
29162,0,0
13628,0,0
24436,0,0
11522,0,0
23953,0,0
8633,0,0
9569,0,0
7110,0,0
19480,1,0
27318,0,0
23481,1,1
16438,0,0
21289,1,0
15518,1,0
11043,0,0
17069,0,0
11855,0,0
12486,0,1
15037,0,1
8897,0,0
25687,0,0
4136,0,0
13420,0,0
23485,0,0
22306,0,0
1132,1,1
19666,0,0
13706,0,0
10166,1,0
5668,0,0
9688,1,1
20184,0,0
29934,1,1
16952,1,1
4438,0,0
94,1,1
29789,0,0
10845,0,0
4080,1,0
28259,1,1
26888,0,0
32362,0,0
23870,0,0
15500,0,0
17858,0,0
18376,1,1
1248,1,1
14104,0,0
29734,0,0
23467,0,0
24942,1,0
18629,0,1
6290,0,0
23279,0,0
27819,0,0
18256,0,0
6878,0,1
29949,0,0
4275,0,0
29935,0,0
29025,0,0
15399,0,0
12370,1,1
15052,0,0
3698,1,1
20588,0,0
30089,0,0
21268,1,1
64,1,1
19730,0,0
5864,0,0
31331,0,0
15556,0,0
14653,1,0
3590,0,0
23996,1,0
28890,0,0
4750,0,0
37,1,1
9157,1,1
6885,0,0
24601,0,0
31887,1,1
14228,0,0
7623,0,0
3344,0,0
11602,1,1
1804,1,1
9695,0,0
23522,0,0
30186,0,0
25446,0,0
1435,0,1
9138,0,0
20474,0,0
11019,0,0
21505,0,0
1323,0,0
1928,0,0
22657,0,0
8282,0,0
30268,0,0
24459,0,0
4201,0,0
28157,0,0
21881,0,0
20280,0,0
866,0,0
28706,0,1
19634,1,1
9575,0,0
15942,1,1
30383,0,0
10961,1,1
31336,0,0
25694,0,0
30097,0,0
14260,0,1
18025,0,0
15999,0,0
6159,1,1
20611,1,0
12287,0,0
16878,0,0
26408,0,0
32328,1,0
32177,0,0
27870,0,0
9082,0,0
6694,0,0
10586,0,0
14275,0,0
28808,0,0
4208,0,0
1911,0,0
9933,0,0
32169,0,0
3681,1,1
31262,0,0
8816,0,1
30253,1,1
3285,0,1
8542,1,1
6068,0,0
12822,0,0
6738,0,0
474,1,1
31123,0,0
3573,0,0
26041,0,0
28065,0,0
3886,0,0
2242,1,1
6186,0,0
15530,0,1
18320,1,1
23878,0,0
29560,1,1
13242,0,0
22084,1,1
18407,0,0
32344,1,0
14677,1,1
29278,1,1
11950,0,0
15337,0,0
14614,1,0
30545,0,0
16553,0,0
32220,0,0
11898,0,0
17048,0,0
30714,1,0
10905,0,0
20031,1,1
28685,0,0
15094,0,0
10446,1,1
28242,0,0
27467,0,0
8797,0,0
18543,1,1
29421,1,1
28832,1,1
31959,0,0
30944,0,0
27752,0,0
7586,1,0
8247,0,0
8016,0,0
23381,0,0
30806,0,0
20296,0,0
10374,0,0
30955,0,0
10530,1,1
9323,0,0
8801,1,1
13443,1,1
27575,1,1
30842,0,0
30445,0,0
25132,0,0
26330,0,0
28149,0,0
22627,0,0
27687,0,0
26545,0,0
19616,1,1
17134,0,0
6435,0,0
19347,1,1
25090,0,0
17435,0,1
26178,0,0
11159,0,0
21805,0,0
18432,0,0
18273,0,0
256,1,1
13385,0,0
17165,0,0
17670,0,0
6718,0,0
19907,1,1
5308,1,1
29441,0,1
20680,0,0
4151,0,0
2745,0,0
4091,0,0
10799,0,0
16253,0,0
21141,0,0
30130,0,0
15693,0,0
12641,0,0
10257,0,0
22530,0,0
14151,0,0
31906,0,0
20544,0,0
29887,0,0
12167,0,0
19297,0,0
19998,0,0
26804,0,0
30943,0,0
11314,0,0
19138,0,0
2670,0,0
21034,0,0
28965,0,0
28682,0,0
17103,1,1
14435,1,1
1870,0,0
10396,0,0
14620,1,1
15708,0,0
16041,0,0
917,0,0
15029,0,0
4427,0,0
24886,1,0
20890,1,1
17455,1,0
16930,0,0
6158,0,0
274,0,0
24581,0,0
272,1,1
4992,0,0
7818,1,1
23150,0,0
32392,0,0
30655,1,1
1389,0,0
18619,1,1
14230,0,0
26753,1,1
23147,0,0
31803,0,0
18188,0,0
1691,0,0
17258,0,0
19611,0,1
2894,0,0
12036,1,0
24834,1,0
7224,0,0
14803,0,0
25939,0,0
7861,0,0
9909,0,0
11475,0,0
15053,1,0
22454,0,0
2393,0,0
9595,0,0
3600,0,1
10455,0,0
9833,0,0
5075,0,0
25115,0,0
16954,0,0
25893,0,0
21854,0,0
30408,0,1
20570,1,1
5213,0,0
26942,0,0
28736,1,1
27671,0,0
5217,0,0
11257,0,0
5563,0,0
27363,0,0
16758,0,0
31946,0,0
29897,0,0
26349,0,0
29128,0,0
26736,1,0
9358,0,0
26274,0,0
3601,0,0
9291,0,0
27092,0,0
24753,0,0
7946,0,0
18942,0,0
31402,0,0
32011,0,0
30698,1,1
7084,0,0
20251,0,1
28305,0,0
16991,0,0
15797,0,0
22936,0,0
26075,0,0
3907,1,0
1450,1,1
31686,1,0
8852,0,0
31037,0,0
15238,0,0
2646,0,0
30276,0,1
4804,0,0
24108,0,0
19619,0,0
13040,1,0
28152,0,0
31301,0,0
24571,0,0
12846,0,0
18766,0,1
2557,1,1
28738,0,0
23662,0,0
22171,0,0
31194,0,0
32229,0,0
16339,0,0
3049,1,1
1635,0,0
28946,1,1
32195,0,0
12055,0,0
24135,0,0
2337,0,0
11403,0,0
5264,0,0
14334,0,0
3740,0,0
14893,0,0
6466,0,0
22154,0,0
1609,0,0
23846,0,0
18683,0,0
16382,0,0
13479,0,0
14683,0,0
3262,0,1
3058,0,0
11022,0,0
16854,0,0
30361,0,0
29093,0,1
8788,1,0
8685,0,0
7530,0,0
14404,0,0
31992,0,0
31454,0,0
27265,0,0
24185,0,0
23486,0,0
26532,0,0
9338,0,0
25763,0,0
4323,0,0
7288,1,1
23515,0,0
16519,0,0
26103,0,0
16150,0,0
7471,0,0
12697,0,0
11321,0,0
28062,0,1
12517,0,0
28115,1,1
32324,0,0
17212,0,0
10368,0,0
6509,0,1
15924,1,1
12942,0,0
18926,1,1
10850,0,0
27259,1,1
29686,0,0
16318,1,1
5129,0,0
12514,1,1
22906,0,0
18399,0,0
15850,1,1
16329,1,1
22754,0,0
15031,0,0
32576,0,0
18516,1,1
29700,0,0
3986,0,0
10100,1,1
12087,0,0
4531,0,0
28049,1,1
15246,0,0
20524,0,0
18146,1,0
889,1,0
4910,1,1
20895,0,0
25144,1,1
14579,0,0
19802,1,1
22121,0,0
3730,0,0
9181,0,0
30952,0,0
32345,0,0
30748,0,0
8884,0,0
21286,1,0
13821,0,0
5322,0,0
9490,0,0
27746,0,0
19702,0,0
12958,0,0
22951,0,0
6262,0,0
7808,0,0
26899,0,0
6431,0,0
18145,1,1
443,1,1
29106,1,1
26242,0,0
30630,0,0
9522,0,0
932,1,0
15521,0,0
9337,0,0
12508,0,0
11259,1,1
12785,0,0
29459,0,0
4110,1,0
6987,0,0
9722,0,0
30399,0,0
8777,0,0
11355,0,0
11835,0,0
6741,0,0
20331,0,0
8768,0,0
3647,0,0
10707,0,0
13621,0,0
8569,1,1
32231,0,0
32532,0,0
26369,0,0
20800,0,0
15148,0,0
11967,0,0
12510,0,0
20973,1,1
17429,0,0
11077,0,0
15351,0,0
26049,0,0
18315,1,1
15683,0,0
12295,0,0
27086,1,1
383,1,1
4799,0,0
14462,0,0
12175,1,1
2676,0,0
18710,0,1
7563,0,0
6954,0,0
29087,0,0
11584,1,0
19837,0,0
13863,0,0
240,1,1
25349,0,0
25735,0,0
20833,0,0
21923,1,0
1085,0,0
16545,0,0
4713,1,1
32026,0,0
27662,0,0
1136,1,1
427,1,1
27788,0,0
17037,1,0
6371,0,0
18473,1,1
26699,0,0
12794,1,1
12700,0,0
5616,0,0
26309,0,0
206,1,1
29794,0,0
5243,1,1
29793,0,0
23099,0,0
22325,0,0
23972,0,0
27681,0,0
25872,1,1
23899,1,0
16899,0,0
6842,0,0
7397,0,0
18773,0,0
15902,1,1
1648,0,0
10068,1,1
17446,0,0
26632,0,0
27727,0,1
19536,0,0
4726,0,1
2118,0,0
6978,0,0
2580,0,0
10656,0,0
10692,1,1
27606,0,0
14547,0,0
15305,0,0
9415,0,0
2997,0,0
23942,0,0
22174,0,0
6815,1,1
1618,0,0
2578,0,0
29013,0,0
20936,0,0
16036,1,1
24282,1,0
21648,0,1
25547,0,0
27658,0,0
17727,1,1
16995,0,0
4267,0,0
13410,0,0
15930,1,1
2979,0,1
3091,1,1
19452,0,0
18568,0,0
20450,0,0
13170,0,0
14489,0,0
21643,0,0
8650,0,0
401,1,1
10031,0,0
9439,0,0
17974,0,0
14895,0,0
16203,0,0
2570,0,0
471,1,1
11415,1,1
30577,0,0
3947,0,0
25524,0,0
31609,0,0
12580,0,0
8193,1,1
16700,0,0
21806,0,0
12861,0,0
26130,1,1
372,0,0
132,1,1
13330,0,0
7674,0,0
140,0,0
7413,0,0
29925,0,0
4414,0,0
12763,0,0
27881,1,0
20722,0,0
11650,1,1
24913,0,0
9328,0,0
22534,0,0
28365,0,0
23046,0,0
