origem_linha,particao
30018,treino
24725,treino
13354,treino
30534,treino
25103,treino
29152,treino
20368,treino
5845,treino
30479,treino
30173,treino
1425,treino
2814,treino
7016,treino
29754,treino
14137,treino
15262,treino
20473,treino
27305,treino
23022,treino
22925,treino
18694,treino
22363,treino
25817,treino
3378,treino
1990,treino
32164,treino
10320,treino
13070,treino
22005,treino
8290,treino
23288,treino
7317,treino
3093,treino
21142,treino
8769,treino
5185,treino
27310,treino
11787,treino
17285,treino
7919,treino
12574,treino
1344,treino
28001,treino
236,treino
3243,treino
21598,treino
21279,treino
5770,treino
14368,treino
9615,treino
8254,treino
16039,treino
1938,treino
15661,treino
30579,treino
9477,treino
970,treino
28379,treino
18700,treino
19289,treino
15413,treino
3277,treino
21954,treino
5850,treino
30278,treino
12841,treino
19917,treino
19416,treino
4515,treino
15987,treino
5443,treino
24237,treino
14278,treino
8124,treino
15071,treino
8439,treino
8189,treino
1923,treino
17748,treino
4421,treino
26214,treino
22948,treino
149,treino
24423,treino
9380,treino
19571,treino
10823,treino
9958,treino
27309,treino
26578,treino
15394,treino
6432,treino
1937,treino
22587,treino
19110,treino
9982,treino
27930,treino
20919,treino
18206,treino
20682,treino
14234,treino
30983,treino
4481,treino
25195,treino
19367,treino
27017,treino
23185,treino
18085,treino
27917,treino
5438,treino
3558,treino
25861,treino
16493,treino
26311,treino
9348,treino
12124,treino
10700,treino
17170,treino
1491,treino
28687,treino
8485,treino
8537,treino
11214,treino
24748,treino
22364,treino
24881,treino
26764,treino
10176,treino
18050,treino
5516,treino
10087,treino
21760,treino
21278,treino
3423,treino
9235,treino
15780,treino
31466,treino
3238,treino
19656,treino
6079,treino
5006,treino
30711,treino
13754,treino
8484,treino
28976,treino
27643,treino
22234,treino
9991,treino
6809,treino
12982,treino
15704,treino
29906,treino
23591,treino
9834,treino
4422,treino
25509,treino
20376,treino
9857,treino
26098,treino
26308,treino
18645,treino
2598,treino
29446,treino
13050,treino
1924,treino
12965,treino
24215,treino
9433,treino
30325,treino
15602,treino
10929,treino
25726,treino
26661,treino
25200,treino
2863,treino
18463,treino
4996,treino
27938,treino
14195,treino
8311,treino
10613,treino
6791,treino
2399,treino
1986,treino
17382,treino
18783,treino
29974,treino
9482,treino
23219,treino
