model,param,fold,train_accuracy,train_precision_1,train_recall_1,train_f1_1,validation_accuracy,validation_precision_1,validation_recall_1,validation_f1_1
KNN,3,1,0.9201137788062868,0.7416918429003021,0.9739916244214238,0.8421152929966651,0.7954107211723872,0.525085910652921,0.673721340388007,0.5901892622634222
KNN,5,1,0.8714685179828368,0.6422813688212928,0.9307912717654838,0.7600791936645068,0.7705360586193598,0.483510011778563,0.7239858906525574,0.5798022598870056
KNN,7,1,0.8474110500433902,0.6019013666072489,0.8931011681728014,0.7191410063004703,0.7768993443887389,0.493223335297584,0.7380952380952381,0.5913104909925821
KNN,9,1,0.8376723556069811,0.5867952522255193,0.8717214018073617,0.7014276846679082,0.780370227535673,0.498521584861029,0.7433862433862434,0.5968141592920354
Tree,3,1,0.8729630700993154,0.7148666967916855,0.6973771214458894,0.706013611514002,0.8767836482838411,0.72895467160037,0.6948853615520282,0.7115124153498872
Tree,5,1,0.8798090830199595,0.718562874251497,0.7405774741018294,0.7294041028980788,0.8823756266872349,0.725473321858864,0.7433862433862434,0.7343205574912892
Tree,7,1,0.9051200462829042,0.8025912838633686,0.7509367423407538,0.7759052607606468,0.8947165445430004,0.78,0.7222222222222222,0.75
Tree,None,1,1.0,1.0,1.0,1.0,0.8843038951021982,0.7266553480475382,0.7548500881834215,0.740484429065744
KNN,3,2,0.9197762992961142,0.7405794674258918,0.9746528543090147,0.8416444613627713,0.7996529116853066,0.5319435104236718,0.6975308641975309,0.6035864173979397
KNN,5,2,0.8656831549513065,0.6307692307692307,0.9307912717654838,0.7519586894586895,0.7840339375241033,0.504257907542579,0.7310405643738977,0.5968322534197265
KNN,7,2,0.8426381255423778,0.5925279837185637,0.8983910072735287,0.7140854940434478,0.7757423833397609,0.4915055653192736,0.7398589065255732,0.5906370996128124
KNN,9,2,0.8379134123999614,0.5872567948908362,0.8715009918448314,0.7016858917480036,0.7842267643655997,0.5045648204503956,0.7310405643738977,0.5970471732084984
